,gpt3_contradiction,gpt2_contradiction,gold_contradiction,gpt3_entailment,gpt2_entailment,gold_entailment,gpt3_neutral,gpt2_neutral,gold_neutral
0,be different,s2_verb same,not be,imply,be,s1s2_verb,not mean,not mean,not mean
1,not,same,be not,imply s1s2_subj,s1_subj be s2_subj,be,mean,not mean s2_verb,not imply
2,different,s1s2_subj not,not,s1s2_verb,be s2_subj,s1s2_subj,not mean s2_verb,mean s2_verb,mean
3,be not,not,be different,s1s2_subj s1s2_verb,be be,s1s2_verb s1s2_subj,mean s2_verb,mean,not have
4,not same,s1_verb s2_verb same,not play,s1s2_subj,s1_subj be,s1s2_subj s1s2_verb,know,not imply,not
5,be not same,s1_verb s1_obj s2_verb,same,imply s1s2_subj s1s2_verb,s1_subj,be s2_verb be,not know,imply,not mean s2_verb
6,s1s2_subj not,s2_obj same,s1s2_subj not,be,be s1_subj,sit s1s2_verb,not provide,mean s2_verb s2_obj,mean s2_verb
7,same,s1_obj s2_verb,s1_subj not be,be be,be s1s2_subj,s1_subj be,not,s1_verb not mean,s1_obj not
8,s1_subj not,s2_verb s2_obj same,different,s1_obj be,same s1s2_subj,be s2_verb,s1_verb not mean,s1_obj not,s1_verb not
9,s2_verb same,s1_verb s2_verb,s1_subj not,s1s2_verb imply,walk s1s2_verb,s1s2_verb be,s1_verb not,s1_verb not,not infer
10,s2_obj be different,not stand,s1_verb s2_verb,imply s1_subj,s1_subj be s1_verb,be same,s2_verb not,s1_obj not mean,s1_verb not mean
11,not be,s2_subj not,not be s1_subj,be s1_verb,be s2_obj,s1_verb be,provide,s1s2_subj s1_verb,have
12,s1_verb s2_verb same,not be,walk s1_verb,be s2_verb,s1s2_verb,s1_subj be be,mean s2_verb s2_obj,not,imply
13,walk,be not,s2_obj same,s1_verb s1_obj be,s1s2_subj be s1s2_subj,s1s2_subj be s1s2_subj,not mean s2_verb s2_obj,s1_verb s1_obj not,not have s2_verb
14,s1_verb s2_verb,not stand s1_verb,not walk,s1s2_obj,s1s2_subj,take,not imply,s1s2_subj s1_verb not,not imply s2_verb
15,s1_obj s2_verb,be not s2_subj,not s2_subj,imply s2_subj s2_verb,s1s2_subj s1s2_subj,s2_verb be s2_verb,s2_subj not mean,s1s2_obj not,s1_obj not mean
16,s1_verb s1_obj s2_verb,s1_subj not,not same,s1s2_verb s1s2_obj,be s2_subj be,s2_verb be,s2_subj s2_verb not,s2_verb s2_obj,infer
17,s2_obj be,s1_verb,be not same,s1s2_subj s1s2_verb s1s2_obj,s1_subj be s1_subj,be s1s2_subj,s1_verb not mean s2_verb,s1s2_verb,s1_verb s1_obj not
18,s2_verb s2_obj same,not s2_subj,be s1_subj s2_subj,s1s2_subj wear,be same s1s2_subj,s1s2_subj be,not imply s2_subj,s1_obj not imply,assume
19,s1_subj be not,s1_subj not be,s1_obj s2_obj,s1_verb,wait,s1_subj,s1s2_subj s2_verb s2_obj,enjoy,not assume
